name,price,availability,source_url,category,id,currency,image_url,scraped_at,rating
The Legend of Zelda: A Link to the Past,90.99,In Stock,https://sandbox.oxylabs.io/products,,19,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
The Legend of Zelda: Majora's Mask,91.99,In Stock,https://sandbox.oxylabs.io/products,,20,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
The Last of Us,92.99,In Stock,https://sandbox.oxylabs.io/products,,21,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Persona 5 Royal,84.99,In Stock,https://sandbox.oxylabs.io/products,,22,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
The Last of Us Remastered,92.99,In Stock,https://sandbox.oxylabs.io/products,,23,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
The Legend of Zelda: Ocarina of Time 3D,90.99,In Stock,https://sandbox.oxylabs.io/products,,24,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Chrono Cross,88.99,In Stock,https://sandbox.oxylabs.io/products,,25,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Gears of War,84.99,In Stock,https://sandbox.oxylabs.io/products,,26,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Sid Meier's Civilization II,88.99,In Stock,https://sandbox.oxylabs.io/products,,27,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Halo 3,81.99,In Stock,https://sandbox.oxylabs.io/products,,28,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Ninja Gaiden Black,88.99,In Stock,https://sandbox.oxylabs.io/products,,29,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Super Mario Advance 4: Super Mario Bros. 3,89.99,In Stock,https://sandbox.oxylabs.io/products,,30,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Jet Grind Radio,83.99,In Stock,https://sandbox.oxylabs.io/products,,31,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Grim Fandango,91.99,In Stock,https://sandbox.oxylabs.io/products,,32,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Resident Evil Code: Veronica,85.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,33,EUR,/assets/action-adventure.svg,2025-12-17 11:41:13,
Diablo,87.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,34,EUR,/assets/role-playing.svg,2025-12-17 11:41:13,
Metal Gear Solid 3: Subsistence,91.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,35,EUR,/assets/action-adventure.svg,2025-12-17 11:41:13,
Metal Gear Solid 4: Guns of the Patriots,88.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,36,EUR,/assets/action-adventure.svg,2025-12-17 11:41:13,
Sid Meier's Civilization IV,82.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,37,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Virtua Fighter 4,81.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,38,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Super Mario 64,91.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,39,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Super Smash Bros. Brawl,88.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,40,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Company of Heroes,87.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,41,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Gran Turismo 2,90.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,42,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
The Last of Us Part II,57.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,43,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Half-Life: Alyx,92.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,44,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Divinity: Original Sin II,88.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,45,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Unreal Tournament 2004,88.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,46,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
God of War II,90.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,47,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Super Mario 3D World,89.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,48,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Starcraft II: Wings of Liberty,83.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,49,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Minecraft,80.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,50,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Persona 4 Golden,86.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,51,EUR,/assets/role-playing.svg,2025-12-17 11:41:14,
Persona 5,87.99,Out of Stock,https://sandbox.oxylabs.io/products?page=2,,52,EUR,/assets/role-playing.svg,2025-12-17 11:41:14,
Quake III Arena,83.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,53,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Homeworld,88.99,Out of Stock,https://sandbox.oxylabs.io/products?page=2,,54,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Gears of War 2,79.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,55,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
World Soccer Winning Eleven 6 International,84.99,Out of Stock,https://sandbox.oxylabs.io/products?page=2,,56,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Skies of Arcadia,88.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,57,EUR,/assets/role-playing.svg,2025-12-17 11:41:14,
The Legend of Zelda: Skyward Sword,81.99,Out of Stock,https://sandbox.oxylabs.io/products?page=2,,58,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Mario Kart Super Circuit,78.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,59,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Test Drive Le Mans,83.99,Out of Stock,https://sandbox.oxylabs.io/products?page=2,,60,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
NBA 2K1,72.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,61,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Virtua Fighter 4: Evolution,87.99,Out of Stock,https://sandbox.oxylabs.io/products?page=2,,62,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Uncharted 4: A Thief's End,88.99,In Stock,https://sandbox.oxylabs.io/products?page=2,,63,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Super Smash Bros. Ultimate,86.99,Out of Stock,https://sandbox.oxylabs.io/products?page=2,,64,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Paper Mario,90.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,65,EUR,/assets/role-playing.svg,2025-12-17 11:41:13,
Wipeout XL,86.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,66,EUR,/assets/driving.svg,2025-12-17 11:41:13,
World of Warcraft,74.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,67,EUR,/assets/role-playing.svg,2025-12-17 11:41:13,
Flipnote Studio,75.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,68,EUR,/assets/miscellaneous.svg,2025-12-17 11:41:13,
God of War III,88.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,69,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
NHL 2002,83.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,70,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Uncharted 3: Drake's Deception,84.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,71,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Bloodborne,88.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,72,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Eternal Darkness: Sanity's Requiem,87.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,73,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Warcraft III: Reign of Chaos,92.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,74,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Sid Meier's Gettysburg!,74.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,75,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:13,
Forza Motorsport,76.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,76,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Advance Wars,89.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,77,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Vagrant Story,90.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,78,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Team Fortress 2,90.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,79,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
System Shock 2,91.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,80,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Final Fantasy XII,76.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,81,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Super Mario World: Super Mario Advance 2,90.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,82,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Super Smash Bros. Melee,91.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,83,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Rome: Total War,90.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,84,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Forza Motorsport 3,81.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,85,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Super Mario Sunshine,84.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,86,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Tony Hawk's Pro Skater,88.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,87,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Thief: The Dark Project,90.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,88,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Fire Emblem: Awakening,90.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,89,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Age of Empires II: The Age of Kings,91.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,90,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Final Fantasy X,89.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,91,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Unreal Tournament (1999),90.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,92,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Sid Meier's Alpha Centauri,88.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,93,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Wave Race 64,83.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,94,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Galactic Civilizations II: Twilight of the Arnor,82.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,95,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Super Smash Bros. for Wii U,89.99,In Stock,https://sandbox.oxylabs.io/products?page=3,,96,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:14,
Chrono Trigger,91.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,97,EUR,/assets/role-playing.svg,2025-12-17 11:41:16,
Xenoblade Chronicles,91.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,98,EUR,/assets/role-playing.svg,2025-12-17 11:41:16,
Conker's Bad Fur Day,89.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,99,EUR,/assets/action.svg,2025-12-17 11:41:16,
Mario Kart 8 Deluxe,86.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,100,EUR,/assets/other.svg,2025-12-17 11:41:16,
The ICO & Shadow of the Colossus Collection,87.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,101,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Metroid Prime 2: Echoes,89.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,102,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Out of the Park Baseball 17,33.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,103,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Metroid Fusion,91.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,104,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Final Fantasy VI Advance,87.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,105,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Dishonored,85.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,106,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Medal of Honor: Allied Assault,85.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,107,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Myth: The Fallen Lords,85.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,108,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
LittleBigPlanet 2,86.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,109,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Psychonauts 2,55.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,110,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Guitar Hero,86.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,111,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
World of Warcraft: Wrath of the Lich King,79.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,112,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Metroid Prime Trilogy,90.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,113,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
F1 Challenge '99-'02,76.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,114,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Baldur's Gate,89.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,115,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Klonoa 2: Lunatea's Veil,86.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,116,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
IL-2 Sturmovik,87.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,117,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Mario Tennis,88.99,Out of Stock,https://sandbox.oxylabs.io/products?page=4,,118,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
FreeSpace 2,87.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,119,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Colony Wars,83.99,Out of Stock,https://sandbox.oxylabs.io/products?page=4,,120,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
Ratchet & Clank: Up Your Arsenal,91.99,In Stock,https://sandbox.oxylabs.io/products?page=4,,121,EUR,/assets/action.svg,2025-12-17 11:41:16,
Resident Evil (2002),92.99,Out of Stock,https://sandbox.oxylabs.io/products?page=4,,122,EUR,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",2025-12-17 11:41:16,
